Date,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1/1/2013,2013,1,1,‡,1.2,,-8.9,,-3.9,,21.9,,0,,0,T,0,,0,T,4,,33,,48,
1/2/2013,2013,1,2,‡,5.8,,-10.9,,-2.6,,20.6,,0,,0,,0,,0,,3,,29,,41,
1/3/2013,2013,1,3,‡,8.8,,-8.8,,0,,18,,0,,0,,0,,0,,2,,28,,52,
1/4/2013,2013,1,4,‡,2.9,,-11.2,,-4.2,,22.2,,0,,0,,0,,0,,2,,26,,63,
1/5/2013,2013,1,5,‡,4.8,,-10,,-2.6,,20.6,,0,,0,,0,,0,,1,,27,,41,
1/6/2013,2013,1,6,‡,,,,,,,,,,,,,,,,,,,,,,
1/7/2013,2013,1,7,‡,2.4,,-9.9,,-3.8,,21.8,,0,,0,,0,,0,,1,,26,,50,
1/8/2013,2013,1,8,‡,1.3,,-3.6,,-1.2,,19.2,,0,,0,,0,,0,,1,,27,,59,
1/9/2013,2013,1,9,‡,,,,,,,,,,,,,,,,,,,,,,
1/10/2013,2013,1,10,‡,-5.7,,-14.1,,-9.9,,27.9,,0,,0,,21,,2.4,,9,,36,,50,
1/11/2013,2013,1,11,‡,-11.6,,-19.8,,-15.7,,33.7,,0,,0,,0,T,0,T,21,,34,,35,
1/12/2013,2013,1,12,‡,-6.7,,-18.8,,-12.8,,30.8,,0,,0,,0,T,0,T,14,,33,,43,
1/13/2013,2013,1,13,‡,,,,,,,,,,,,,,,,,,,,,,
1/14/2013,2013,1,14,‡,,,,,,,,,,,,,,,,,,,,,,
1/15/2013,2013,1,15,‡,8,,1.3,,4.7,,13.3,,0,,0,,0,,0,,8,,26,,63,
1/16/2013,2013,1,16,‡,7.3,,-4.6,,1.4,,16.6,,0,,0,,0,,0,,8,,34,,37,
1/17/2013,2013,1,17,‡,9.4,,-6.4,,1.5,,16.5,,0,,0,,0,,0,,5,,26,,65,
1/18/2013,2013,1,18,‡,7.9,,-2.8,,2.6,,15.4,,0,,0,,0,,0,,2,,27,,59,
1/19/2013,2013,1,19,‡,,,,,,,,,,,,,,,,,,,,,,
1/20/2013,2013,1,20,‡,,,,,,,,,,,,,,,,,,,,,,
1/21/2013,2013,1,21,‡,,,,,,,,,,,,,,,,,,,,,,
1/22/2013,2013,1,22,‡,,,,,,,,,,,,,,,,,,,,,,
1/23/2013,2013,1,23,‡,,,,,,,,,,,,,,,,,,,,,,
1/24/2013,2013,1,24,‡,3.1,,-13.4,,-5.2,,23.2,,0,,0,,0,,0,,1,,33,,43,
1/25/2013,2013,1,25,‡,5.6,,-6.1,,-0.3,,18.3,,0,,0,,0,,0,,1,,,,<31,
